Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741049544,78d8c0863b02,reverse-proxy-lb-1,78d8c0863b02,2.38%,"77.91MiB / 7.637GiB",1.00%,"142MB / 167MB","0B / 0B",31
1741049544,2920136c1f5e,reverse-proxy-api-1,2920136c1f5e,16.76%,"177.6MiB / 7.637GiB",2.27%,"102MB / 64.1MB","0B / 0B",16
1741049556,78d8c0863b02,reverse-proxy-lb-1,78d8c0863b02,2.63%,"78.42MiB / 7.637GiB",1.00%,"142MB / 167MB","0B / 0B",31
1741049556,2920136c1f5e,reverse-proxy-api-1,2920136c1f5e,36.01%,"179.3MiB / 7.637GiB",2.29%,"102MB / 64.2MB","0B / 0B",19
1741049568,78d8c0863b02,reverse-proxy-lb-1,78d8c0863b02,3.95%,"78.98MiB / 7.637GiB",1.01%,"142MB / 167MB","0B / 0B",31
1741049568,2920136c1f5e,reverse-proxy-api-1,2920136c1f5e,58.53%,"180.2MiB / 7.637GiB",2.30%,"102MB / 64.3MB","0B / 0B",19
1741049580,78d8c0863b02,reverse-proxy-lb-1,78d8c0863b02,4.92%,"79.98MiB / 7.637GiB",1.02%,"143MB / 168MB","0B / 0B",31
1741049580,2920136c1f5e,reverse-proxy-api-1,2920136c1f5e,59.78%,"179.2MiB / 7.637GiB",2.29%,"102MB / 64.5MB","0B / 0B",21
1741049592,78d8c0863b02,reverse-proxy-lb-1,78d8c0863b02,4.19%,"81.52MiB / 7.637GiB",1.04%,"144MB / 169MB","0B / 0B",31
1741049592,2920136c1f5e,reverse-proxy-api-1,2920136c1f5e,61.34%,"181.4MiB / 7.637GiB",2.32%,"103MB / 64.8MB","0B / 0B",22
1741049605,78d8c0863b02,reverse-proxy-lb-1,78d8c0863b02,7.85%,"81.54MiB / 7.637GiB",1.04%,"145MB / 170MB","0B / 0B",31
1741049605,2920136c1f5e,reverse-proxy-api-1,2920136c1f5e,76.98%,"186.5MiB / 7.637GiB",2.38%,"103MB / 65.1MB","0B / 0B",25
1741049617,78d8c0863b02,reverse-proxy-lb-1,78d8c0863b02,7.03%,"81.6MiB / 7.637GiB",1.04%,"146MB / 171MB","0B / 0B",31
1741049617,2920136c1f5e,reverse-proxy-api-1,2920136c1f5e,81.70%,"188.4MiB / 7.637GiB",2.41%,"104MB / 65.6MB","0B / 0B",28
1741049629,78d8c0863b02,reverse-proxy-lb-1,78d8c0863b02,7.36%,"81.8MiB / 7.637GiB",1.05%,"147MB / 173MB","0B / 0B",31
