Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741050100,78d8c0863b02,reverse-proxy-lb-1,78d8c0863b02,1.67%,"81.97MiB / 7.637GiB",1.05%,"243MB / 286MB","0B / 0B",33
1741050100,2920136c1f5e,reverse-proxy-api-1,2920136c1f5e,63.94%,"180.8MiB / 7.637GiB",2.31%,"173MB / 108MB","0B / 0B",19
1741050112,78d8c0863b02,reverse-proxy-lb-1,78d8c0863b02,2.37%,"81.96MiB / 7.637GiB",1.05%,"243MB / 286MB","0B / 0B",33
1741050112,2920136c1f5e,reverse-proxy-api-1,2920136c1f5e,83.81%,"183.2MiB / 7.637GiB",2.34%,"173MB / 108MB","0B / 0B",20
1741050124,78d8c0863b02,reverse-proxy-lb-1,78d8c0863b02,2.90%,"82.13MiB / 7.637GiB",1.05%,"243MB / 286MB","0B / 0B",33
1741050124,2920136c1f5e,reverse-proxy-api-1,2920136c1f5e,98.18%,"185.5MiB / 7.637GiB",2.37%,"173MB / 108MB","0B / 0B",26
1741050137,78d8c0863b02,reverse-proxy-lb-1,78d8c0863b02,2.67%,"82.3MiB / 7.637GiB",1.05%,"244MB / 287MB","0B / 0B",33
1741050137,2920136c1f5e,reverse-proxy-api-1,2920136c1f5e,96.04%,"191.5MiB / 7.637GiB",2.45%,"174MB / 109MB","0B / 0B",32
1741050149,78d8c0863b02,reverse-proxy-lb-1,78d8c0863b02,8.73%,"82.41MiB / 7.637GiB",1.05%,"244MB / 288MB","0B / 0B",33
1741050149,2920136c1f5e,reverse-proxy-api-1,2920136c1f5e,97.13%,"194.3MiB / 7.637GiB",2.48%,"174MB / 109MB","0B / 0B",36
1741050161,78d8c0863b02,reverse-proxy-lb-1,78d8c0863b02,3.23%,"82.61MiB / 7.637GiB",1.06%,"245MB / 288MB","0B / 0B",33
1741050161,2920136c1f5e,reverse-proxy-api-1,2920136c1f5e,99.75%,"207.6MiB / 7.637GiB",2.65%,"175MB / 109MB","0B / 0B",38
1741050173,78d8c0863b02,reverse-proxy-lb-1,78d8c0863b02,1.83%,"82.72MiB / 7.637GiB",1.06%,"245MB / 289MB","0B / 0B",33
1741050173,2920136c1f5e,reverse-proxy-api-1,2920136c1f5e,100.92%,"194.1MiB / 7.637GiB",2.48%,"175MB / 109MB","0B / 0B",40
